ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,z,plate,fiberID,mjd
230.29988,21.25422,17.86078,16.00943,15.17845,14.74369,14.43362,0.04004825,2159,404,54328
230.10016,20.602562,18.65539,16.73925,15.90371,15.5238,15.20285,0.04032766,2159,430,54328
230.79421,21.113872,19.77636,18.21347,17.53035,17.16017,16.90218,0.04096634,2159,441,54328
230.61767,20.839848,18.22817,16.37746,15.6199,15.20821,14.90368,0.04029651,2159,451,54328
225.68023,43.27464,17.28258,15.32138,14.55666,14.1726,13.88528,0.04059272,1290,626,52734
225.67643,43.242443,17.05112,15.37344,14.63363,14.26863,13.97148,0.04085775,1290,627,52734
138.8144,9.5462591,18.8818,17.80983,17.39234,17.12995,16.96755,0.04000601,1301,408,52976
138.68381,8.9219717,18.10995,16.81856,16.41733,16.18353,16.17183,0.04026151,1301,480,52976
139.52631,9.5788237,18.58318,16.77101,16.03184,15.65555,15.39691,0.04069125,1301,524,52976
139.46239,9.6727889,19.93868,18.27835,17.54361,17.17677,16.88052,0.04046227,1301,529,52976
139.46239,9.6727889,19.93868,18.27835,17.54361,17.17677,16.88052,0.0404297,1302,323,52763
147.2379,10.719317,18.01096,17.03335,16.74674,16.53856,16.43242,0.04072671,1305,534,52757
147.39618,10.739585,18.79889,17.17224,16.28385,15.78073,15.36282,0.04073873,1305,566,52757
147.29553,10.684254,18.27254,16.41238,15.57873,15.18397,14.87439,0.04002775,1306,322,52996
147.39618,10.739585,18.79889,17.17224,16.28385,15.78073,15.36282,0.04074416,1306,373,52996
148.29972,10.415996,17.67338,15.80336,14.89036,14.43298,14.05628,0.04065796,1306,481,52996
148.38204,10.85084,19.43966,17.88841,17.14549,16.80972,16.55477,0.0407179,1306,523,52996
148.56007,10.473056,19.55524,17.89032,17.14978,16.82416,16.53988,0.04014783,1306,545,52996
148.77933,11.039539,16.45138,14.94043,14.2587,13.92947,13.62688,0.04023158,1306,562,52996
149.14123,11.182835,19.96198,18.23204,17.45181,17.08846,16.78842,0.04041095,1307,321,52999
149.46417,10.976277,18.43349,17.37939,17.15189,16.93896,16.85654,0.0409944,1307,323,52999
229.24688,42.598262,19.83932,18.39749,17.54613,17.11131,16.80216,0.0404705,1678,431,53433
234.66019,40.882278,18.70837,17.33736,16.73694,16.38665,16.12411,0.04018564,1679,26,53149
232.08023,42.354812,18.72739,17.12727,16.57758,16.20503,15.97534,0.04083086,1679,374,53149
239.93086,37.482517,18.72807,17.54212,17.06615,16.73057,16.52927,0.04004573,1681,80,53172
237.70757,37.261528,19.22302,17.62791,16.75909,16.23867,15.87267,0.04022899,1681,302,53172
255.50489,24.241844,17.25013,15.78881,15.07166,14.67588,14.35315,0.04094931,1687,472,53260
253.582,25.052159,19.4953,17.8166,17.33376,17.05972,16.86152,0.04083272,1693,306,53446
138.12071,10.030156,18.88143,17.32959,16.55873,16.20214,15.87614,0.04029566,1739,142,53050
153.69392,12.596472,16.49632,15.25656,14.67648,14.36959,14.16139,0.04049718,1745,154,53061
187.87141,34.15419,18.23074,16.80902,16.14343,15.77767,15.50844,0.0408524,2015,119,53819
187.13062,33.866801,18.69597,17.15085,16.46579,16.15141,15.88195,0.04092219,2015,162,53819
164.64698,32.457894,17.67579,16.75824,16.45678,16.23959,16.07472,0.04094701,2026,637,53711
165.60533,32.20216,18.48008,16.72793,15.96968,15.59983,15.33602,0.04062435,2106,227,53714
164.96506,32.068071,17.02546,15.66835,15.06706,14.76871,14.52122,0.04088616,2106,297,53714
170.26413,22.958371,18.63523,17.59934,17.31145,17.11119,16.94955,0.04064225,2496,410,54178
143.03169,15.998121,18.11079,16.81951,16.52627,16.3135,16.20859,0.04013158,2579,451,54068
143.0165,16.013753,18.80359,17.87258,17.53715,17.3735,17.33104,0.04032821,2579,458,54068
145.89989,39.177378,18.12089,16.16546,15.29614,14.91139,14.59489,0.04033691,1215,42,52725
145.09639,38.790647,18.97016,17.90754,17.56058,17.3572,17.25277,0.04074281,1215,77,52725
146.9536,39.496403,18.09466,17.03185,16.65188,16.40913,16.25028,0.04026767,1216,209,52709
146.96049,39.533991,16.83881,15.27329,14.53685,14.16926,13.91484,0.04030357,1216,210,52709
127.59255,28.091924,19.32137,17.63866,16.84228,16.47313,16.16356,0.04042293,1267,590,52932
133.71637,32.490077,18.76502,17.60273,17.09131,16.77068,16.54038,0.04099906,1271,432,52974
145.89928,39.177616,19.25855,17.61745,16.85516,16.35133,16.09629,0.04050273,1276,379,53035
146.25095,39.133869,17.90637,16.60672,16.03686,15.68984,15.4577,0.04066341,1276,447,53035
145.54099,38.49586,17.96155,16.13499,15.31343,14.92826,14.6094,0.04071613,1276,469,53035
147.37039,39.214837,17.58045,15.91198,15.13743,14.75888,14.49476,0.04092061,1277,421,52765
133.37637,7.6608558,18.93476,17.863,17.54251,17.31699,17.18334,0.04079248,1299,240,52972
138.65072,8.1370807,18.89348,17.16063,16.30764,15.82821,15.43883,0.040459,1301,165,52976
243.0746,25.991898,17.19557,15.71044,15.08349,14.74618,14.55774,0.04078091,1393,104,52824
243.64488,25.576953,18.33725,16.4858,15.59223,15.18934,14.86892,0.04018684,1575,357,53493
156.47553,32.299338,18.27006,17.24783,16.866,16.58112,16.42505,0.0401665,1959,405,53440
204.13585,33.875973,17.42795,15.45683,14.53158,14.077,13.79063,0.04062297,1993,4,53762
204.01299,33.797838,18.01482,16.73106,16.30308,16.0336,15.89696,0.04071847,1993,10,53762
203.61122,33.872635,19.31808,17.96459,17.54915,17.31872,17.16568,0.04073849,1993,93,53762
203.61014,33.933323,18.22815,17.05534,16.69318,16.43067,16.30527,0.04085096,1993,94,53762
203.5845,33.823663,18.39181,16.90008,16.20884,15.82586,15.52091,0.04002499,1993,97,53762
203.55411,33.920461,18.48339,17.31327,16.85946,16.58188,16.3959,0.0402824,1993,98,53762
203.58835,33.93881,17.78412,16.10897,15.28207,14.79437,14.40106,0.04077226,1993,99,53762
188.60196,34.85294,19.34616,17.63984,16.86186,16.48612,16.19022,0.04048878,2010,198,53495
